# rank, time, memory kiB
3, 1.53567439858779693e+09, 45176
3, 1.53567439908799791e+09, 45176
3, 1.53567439958817601e+09, 72308
3, 1.53567440008839011e+09, 92752
3, 1.53567440058861494e+09, 125400
3, 1.53567440108883691e+09, 125400
3, 1.53567440158903003e+09, 125400
3, 1.53567440208924007e+09, 125400
3, 1.53567440258944392e+09, 125400
3, 1.53567440308964992e+09, 125400
3, 1.53567440358985496e+09, 143436
3, 1.53567440409008288e+09, 162564
3, 1.53567440459032702e+09, 181324
3, 1.53567440509058595e+09, 182136
3, 1.53567440559082389e+09, 182136
3, 1.53567440609104490e+09, 182136
3, 1.53567440659125590e+09, 182136
3, 1.53567440709146500e+09, 182136
3, 1.53567440759165812e+09, 182136
3, 1.53567440809187889e+09, 182136
3, 1.53567440859208894e+09, 182136
3, 1.53567440909233594e+09, 181812
3, 1.53567440959256601e+09, 186560
3, 1.53567441009278107e+09, 186560
3, 1.53567441059299588e+09, 186560
3, 1.53567441109320807e+09, 186560
3, 1.53567441159340191e+09, 186560
3, 1.53567441209362102e+09, 186560
3, 1.53567441259382510e+09, 186560
3, 1.53567441309403706e+09, 186560
3, 1.53567441359423089e+09, 186560
3, 1.53567441409446311e+09, 186560
3, 1.53567441459468198e+09, 186560
3, 1.53567441509488106e+09, 186560
3, 1.53567441559507608e+09, 186560
3, 1.53567441609528899e+09, 186560
3, 1.53567441659547997e+09, 186560
3, 1.53567441709568596e+09, 186560
3, 1.53567441759586906e+09, 186560
3, 1.53567441809609389e+09, 186560
3, 1.53567441859633303e+09, 186824
3, 1.53567441909657001e+09, 186824
3, 1.53567441959676790e+09, 186824
3, 1.53567442009696794e+09, 186824
3, 1.53567442059718490e+09, 186824
3, 1.53567442109739709e+09, 186824
3, 1.53567442159758496e+09, 186824
3, 1.53567442209780192e+09, 186824
3, 1.53567442259801602e+09, 186824
3, 1.53567442309824896e+09, 186824
3, 1.53567442359846711e+09, 186824
3, 1.53567442409868789e+09, 186824
3, 1.53567442459891200e+09, 186824
3, 1.53567442509911203e+09, 186824
3, 1.53567442559930205e+09, 186824
3, 1.53567442609951901e+09, 186824
3, 1.53567442659970903e+09, 186824
3, 1.53567442709992599e+09, 186824
3, 1.53567442760016394e+09, 186824
3, 1.53567442810040212e+09, 186824
3, 1.53567442860058999e+09, 186824
3, 1.53567442910080004e+09, 186824
3, 1.53567442960098910e+09, 186824
3, 1.53567443010118794e+09, 186824
3, 1.53567443060138798e+09, 186824
3, 1.53567443110159612e+09, 186824
3, 1.53567443160179090e+09, 186824
3, 1.53567443210203195e+09, 187088
3, 1.53567443260224700e+09, 187088
3, 1.53567443310246205e+09, 187088
3, 1.53567443360264492e+09, 187088
3, 1.53567443410286093e+09, 187088
3, 1.53567443460305691e+09, 187088
3, 1.53567443510325408e+09, 187088
3, 1.53567443560344100e+09, 187088
3, 1.53567443610365891e+09, 187088
3, 1.53567443660385299e+09, 187088
3, 1.53567443710409808e+09, 187088
3, 1.53567443760432291e+09, 187088
3, 1.53567443810455394e+09, 187088
3, 1.53567443860476089e+09, 187088
3, 1.53567443910496497e+09, 187088
3, 1.53567443960516095e+09, 187088
3, 1.53567444010536003e+09, 187088
3, 1.53567444060557508e+09, 187088
3, 1.53567444110578704e+09, 187088
3, 1.53567444160599303e+09, 187088
3, 1.53567444210622501e+09, 187352
3, 1.53567444260645294e+09, 187352
3, 1.53567444310666704e+09, 187352
3, 1.53567444360686111e+09, 187352
3, 1.53567444410707498e+09, 187352
3, 1.53567444460728407e+09, 187352
3, 1.53567444510746598e+09, 187352
3, 1.53567444560766411e+09, 187352
3, 1.53567444610786200e+09, 187352
3, 1.53567444660809588e+09, 181544
4, 1.53567439557238889e+09, 45116
4, 1.53567439608679008e+09, 45140
4, 1.53567439658699489e+09, 45140
4, 1.53567439708717704e+09, 45140
4, 1.53567439758737397e+09, 45140
4, 1.53567439808755398e+09, 45140
4, 1.53567439858774900e+09, 45140
4, 1.53567439908792901e+09, 45140
4, 1.53567439958812308e+09, 72404
4, 1.53567440008833504e+09, 93104
4, 1.53567440058855009e+09, 126600
4, 1.53567440108877492e+09, 126600
4, 1.53567440158898091e+09, 126600
4, 1.53567440208918595e+09, 126600
4, 1.53567440258939195e+09, 126600
4, 1.53567440308959389e+09, 126600
4, 1.53567440358980298e+09, 144372
4, 1.53567440409002805e+09, 162496
4, 1.53567440459027195e+09, 181504
4, 1.53567440509050798e+09, 182328
4, 1.53567440559073901e+09, 182328
4, 1.53567440609095192e+09, 182328
4, 1.53567440659116101e+09, 182328
4, 1.53567440709136796e+09, 182328
4, 1.53567440759157610e+09, 182328
4, 1.53567440809178400e+09, 182328
4, 1.53567440859199190e+09, 182328
4, 1.53567440909223700e+09, 182008
4, 1.53567440959246492e+09, 186756
4, 1.53567441009270597e+09, 186756
4, 1.53567441059291291e+09, 186756
4, 1.53567441109312105e+09, 186756
4, 1.53567441159333611e+09, 186756
4, 1.53567441209354496e+09, 186756
4, 1.53567441259373903e+09, 186756
4, 1.53567441309394407e+09, 186756
4, 1.53567441359415102e+09, 186756
4, 1.53567441409438300e+09, 186756
4, 1.53567441459461093e+09, 186756
4, 1.53567441509482408e+09, 186756
4, 1.53567441559503889e+09, 186756
4, 1.53567441609524298e+09, 186756
4, 1.53567441659545302e+09, 186756
4, 1.53567441709565997e+09, 186756
4, 1.53567441759586596e+09, 186756
4, 1.53567441809607697e+09, 186756
4, 1.53567441859630895e+09, 187020
4, 1.53567441909653401e+09, 187020
4, 1.53567441959674191e+09, 187020
4, 1.53567442009695005e+09, 187020
4, 1.53567442059715390e+09, 187020
4, 1.53567442109735703e+09, 187020
4, 1.53567442159755898e+09, 187020
4, 1.53567442209773397e+09, 187020
4, 1.53567442259794903e+09, 187020
4, 1.53567442309817910e+09, 187020
4, 1.53567442359840107e+09, 187020
4, 1.53567442409861493e+09, 187020
4, 1.53567442459883404e+09, 187020
4, 1.53567442509905601e+09, 187020
4, 1.53567442559924698e+09, 187020
4, 1.53567442609945202e+09, 187020
4, 1.53567442659965491e+09, 187020
4, 1.53567442709986591e+09, 187020
4, 1.53567442760008693e+09, 187284
4, 1.53567442810032010e+09, 187284
4, 1.53567442860052800e+09, 187284
4, 1.53567442910073590e+09, 187284
4, 1.53567442960092592e+09, 187284
4, 1.53567443010113096e+09, 187284
4, 1.53567443060132694e+09, 187284
4, 1.53567443110153103e+09, 187284
4, 1.53567443160173011e+09, 187284
4, 1.53567443210193992e+09, 187284
4, 1.53567443260215807e+09, 187284
4, 1.53567443310237002e+09, 187284
4, 1.53567443360257196e+09, 187284
4, 1.53567443410277605e+09, 187284
4, 1.53567443460299492e+09, 187284
4, 1.53567443510319901e+09, 187284
4, 1.53567443560339904e+09, 187284
4, 1.53567443610360289e+09, 187284
4, 1.53567443660381007e+09, 187284
4, 1.53567443710405588e+09, 187284
4, 1.53567443760427999e+09, 187284
4, 1.53567443810451388e+09, 187284
4, 1.53567443860472488e+09, 187284
